,Avg_temp,Max_temp,Min_temp,Avg_relative_humidity(%),Total_rainfall_snowmelt(mm),Avg_visibility,Avg_wind_speed,Max_sustained_wind_speed,PM2.5
86,23.6,30.2,20.3,74,0,6.9,7.2,9.4,90.70833333333333
87,23.4,30.2,20,78,6.1,6.9,5,5.4,97.29166666666667
88,23.4,28.4,20.6,77,0,6.9,8.9,18.3,50.708333333333336
89,22.4,27.8,20.4,87,0,6.9,5.2,5.4,40.375
90,23.5,28.5,20.6,75,14.99,6.9,5.7,7.6,49.416666666666664
91,23.7,29.2,19.4,70,0,6.9,8.5,14.8,61.875
92,22.6,29.2,19.8,79,0,5.5,6.9,11.1,0.0
93,22.2,28.1,19.9,83,3.05,6.9,6.7,11.1,29.666666666666668
94,23.3,29.6,20.6,76,10.92,6.3,5,9.4,49.125
95,23.8,28.7,20.5,73,0,6.9,5.7,9.4,43.666666666666664
96,22.6,28.8,20.4,82,0,6.9,5.6,7.6,29.833333333333332
97,22.2,27.3,20.2,84,0,6.3,5.9,9.4,35.208333333333336
98,23.1,27.4,19.8,79,6.1,6.3,5,7.6,37.625
99,23.1,28.3,20.2,81,3.05,5.8,4.6,7.6,41.458333333333336
100,21.4,27,19.7,90,9.91,6.3,5.4,7.6,38.583333333333336
101,21.3,27,19.7,93,49.02,6.3,5.4,7.6,36.0
102,22.5,26,19.9,84,5.08,6.3,5.9,7.6,70.58333333333333
103,23.1,27.6,19.8,75,1.02,6.9,9.8,11.1,33.166666666666664
104,22.6,27.6,20,77,0,6.9,8.1,11.1,38.25
105,22.3,27.4,19.7,84,0.76,6.9,6.7,11.1,26.583333333333332
106,22,26.9,20,76,0,6.9,11.7,22.2,15.416666666666666
107,22.4,26.2,20,79,0,6.6,9.8,14.8,41.375
108,23.2,28.4,20.1,78,0.25,6.9,9.8,11.1,25.541666666666668
109,22.7,28.4,20.2,80,0,6.3,6.7,11.1,28.375
110,23.4,28,20.1,76,0,6.9,6.3,7.6,50.333333333333336
111,23.9,29.5,20.6,74,0,6.3,6.1,9.4,35.375
112,23.7,29.5,20.9,76,0,6.9,6.3,9.4,31.916666666666668
113,22.9,27.8,20.4,83,0,6.3,4.4,5.4,35.291666666666664
114,21.3,27.8,19.8,88,7.87,5.5,4.6,7.6,26.833333333333332
115,20.7,25.1,19,89,21.34,6.9,4.4,5.4,21.125
116,22.6,26.8,19.6,81,1.52,6.3,8.5,14.8,35.708333333333336
117,22.4,26.7,19.7,81,0,5.5,6.7,9.4,43.583333333333336
118,22.7,28.4,20.1,77,5.59,6.9,6.7,7.6,46.041666666666664
119,22.4,26.7,19.5,82,14.48,6.3,5.2,7.6,82.875
120,23.9,29,19.5,73,0.25,6.3,4.6,7.6,64.91666666666667
121,24.2,29.7,19.9,69,0,6.9,3.9,5.4,30.666666666666668
122,24.6,30.1,21.9,77,1.52,6.9,1.5,5.4,34.416666666666664
123,24.3,30.8,19.2,72,22.86,6.9,0.9,3.5,33.166666666666664
124,23.9,31.4,19,76,79.76,6.9,1.5,5.4,30.625
125,22.9,31.4,19.5,80,12.45,6.9,3.7,11.1,30.333333333333332
126,22.2,27.7,20,85,0,6.3,4.8,7.6,0.0
127,21.8,25.4,19.5,89,3.05,5.5,2.8,5.4,0.0
128,21.7,25.4,19.1,84,60.71,5.5,3.3,5.4,0.0
129,22.9,27.4,19.8,87,42.42,6.6,4.1,5.4,76.875
130,23.2,27.5,20.5,87,27.18,6.9,3,5.4,83.45833333333333
131,23,27.5,20.6,84,1.52,4.8,4.4,5.4,71.66666666666667
132,23.2,28.8,20.5,81,0,6.3,7.6,11.1,69.70833333333333
133,22.1,28.4,20.6,85,0,6.9,8,18.3,62.375
134,23.1,27.9,20.2,80,1.78,6.9,5.9,11.1,24.875
135,23.8,28.3,19.4,73,0,7.7,3.9,5.4,43.958333333333336
136,24.7,30.4,19.5,68,0,9.2,5,7.6,41.5
137,24.9,30.8,20,64,0,7.7,4.4,7.6,38.791666666666664
138,23.8,29.5,19.6,73,0,6.9,5,7.6,30.333333333333332
139,24.2,29.5,21.1,73,0,6.9,6.3,11.1,26.666666666666668
140,23.6,28.9,20.3,72,0,6.3,4.8,7.6,29.0
141,23.9,30,21.1,81,6.6,6.3,3.1,5.4,60.541666666666664
